X,Y,SPECIES NAME
4207500,2856500,Abies alba
4221500,2826500,Abies alba
4164500,2913500,Abies alba
4156500,2891500,Abies alba
4208500,2786500,Abies alba
4179500,2816500,Abies alba
4531500,2881500,Abies alba
4301500,2717500,Abies alba
4171500,2806500,Abies alba
4182500,2760500,Abies alba
4205500,2850500,Abies alba
4327500,2862500,Abies alba
4262500,2769500,Abies alba
4162500,2801500,Abies alba
4201500,2808500,Abies alba
4166500,3077500,Abies alba
4296500,2879500,Abies alba
4330500,2892500,Abies alba
4572500,2842500,Abies alba
4568500,2834500,Abies alba
4217500,2850500,Abies alba
4266500,2935500,Abies alba
4286500,2739500,Abies alba
4291500,2857500,Abies alba
4207500,2858500,Abies alba
4229500,2814500,Abies alba
4363000,2900500,Abies alba
4303500,2865500,Abies alba
4431500,2722500,Abies alba
4170000,2733000,Abies alba
4362500,2768500,Abies alba
4519500,2744500,Abies alba
4217500,2842500,Abies alba
4302500,2743500,Abies alba
4207500,2810500,Abies alba
4186500,2778500,Abies alba
4245500,2811500,Abies alba
4205500,2840500,Abies alba
4411500,2870000,Abies alba
4158500,2749500,Abies alba
4522500,2900500,Abies alba
4177500,2810500,Abies alba
4282500,2749500,Abies alba
4192500,2732500,Abies alba
4170500,2770500,Abies alba
4187500,2822500,Abies alba
4212500,2772500,Abies alba
4527500,2749500,Abies alba
4183500,2816500,Abies alba
4283500,2875500,Abies alba
4203000,2828500,Abies alba
4209500,2852500,Abies alba
4197500,2810500,Abies alba
4245500,2801500,Abies alba
4201500,2818500,Abies alba
4416500,2998500,Abies alba
4268500,2789500,Abies alba
4146500,2893500,Abies alba
4196500,2782500,Abies alba
4178500,2730500,Abies alba
4185500,2838500,Abies alba
4168500,2777500,Abies alba
4196500,2750500,Abies alba
4322500,2734500,Abies alba
4338500,2732500,Abies alba
4244500,2799500,Abies alba
4194500,2790500,Abies alba
4186000,2732500,Abies alba
4153500,2721500,Abies alba
4237500,2810500,Abies alba
4342500,2922500,Abies alba
4213500,2836500,Abies alba
4176500,2750500,Abies alba
4541000,2825500,Abies alba
4295500,2851500,Abies alba
4187500,2816500,Abies alba
4495500,2888500,Abies alba
4339500,2860500,Abies alba
4235500,2850500,Abies alba
4300500,2723500,Abies alba
4198500,2742500,Abies alba
4211500,2832500,Abies alba
4184500,2740500,Abies alba
4180500,2796500,Abies alba
4202500,2774500,Abies alba
4176500,2786500,Abies alba
4204500,2766500,Abies alba
4525000,2825000,Abies alba
4187500,2832500,Abies alba
4214500,2796500,Abies alba
4219500,2850500,Abies alba
4587500,2875000,Abies alba
4431500,2726000,Abies alba
4321500,2712500,Abies alba
4176500,2734500,Abies alba
4293500,2867500,Abies alba
4226500,2788500,Abies alba
4190500,2796500,Abies alba
4154500,2743500,Abies alba
4224500,2794500,Abies alba
4535500,2885500,Abies alba
4183500,2830500,Abies alba
4296500,2727500,Abies alba
4181500,2818500,Abies alba
4290500,2877500,Abies alba
4331500,2860500,Abies alba
4179500,2808500,Abies alba
4174500,2760500,Abies alba
4223500,2842500,Abies alba
4504500,2836500,Abies alba
4427500,2718500,Abies alba
4292500,2733500,Abies alba
4186500,2794500,Abies alba
4186500,2728000,Abies alba
4320500,2788500,Abies alba
4509000,2824500,Abies alba
4226500,2792500,Abies alba
4196500,2772500,Abies alba
4332500,2886500,Abies alba
4318500,3052500,Abies alba
4211500,2850500,Abies alba
4203500,2820500,Abies alba
4325500,2712500,Abies alba
4192500,2740500,Abies alba
4156500,2739500,Abies alba
4212500,2796500,Abies alba
4539500,2737500,Abies alba
4180500,2734500,Abies alba
4191500,2804500,Abies alba
4215500,2854500,Abies alba
4253500,2805500,Abies alba
4592500,2855500,Abies alba
4176000,2903500,Abies alba
4209500,2846500,Abies alba
4190500,2786500,Abies alba
4292500,2875500,Abies alba
4306500,2733500,Abies alba
4167500,2719500,Abies alba
4344500,2908500,Abies alba
4176000,2919500,Abies alba
4190500,2744500,Abies alba
4187500,2828500,Abies alba
4270500,2935500,Abies alba
4361500,2784500,Abies alba
4324500,2744500,Abies alba
4439500,2726500,Abies alba
4314500,2875500,Abies alba
4300500,2741500,Abies alba
4288500,2879500,Abies alba
4262500,2789500,Abies alba
4301500,2865500,Abies alba
4278500,3515500,Abies alba
4186500,2792500,Abies alba
4547500,2873500,Abies alba
4150500,2733500,Abies alba
4320500,2738500,Abies alba
4315500,2715500,Abies alba
4542500,2905500,Abies alba
4257500,2841500,Abies alba
4219500,2826500,Abies alba
4200500,2792500,Abies alba
4419500,3046500,Abies alba
4223500,2822500,Abies alba
4213500,2858500,Abies alba
4186500,2800500,Abies alba
4202500,2780500,Abies alba
4315500,2870500,Abies alba
4201500,2806500,Abies alba
4289500,2869500,Abies alba
4281500,3009500,Abies alba
4481500,2815500,Abies alba
4176500,2796500,Abies alba
4231500,2858500,Abies alba
4184500,2760500,Abies alba
4417500,2966500,Abies alba
4327500,2698500,Abies alba
4221500,2838500,Abies alba
4301500,2873500,Abies alba
